City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
627,Santa-Maria,FR,78.55,clear sky,41.8762,8.9779,Location de Gites - Chalets de Grosseto Prugna
629,Le Mans,FR,78.73,clear sky,48.0,0.2,ibis Styles Le Mans Centre Gare
631,Amahai,ID,75.29,broken clouds,-3.3333,128.9167,HOTEL ISABELA
634,Kikwit,CD,80.65,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
635,Wenshang,CN,73.56,few clouds,35.7275,116.4961,Wenshang 1993 Theme Hotel
636,Samarinda,ID,73.06,light rain,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
639,Badhni Kalan,IN,78.03,overcast clouds,30.6833,75.2833,Dana patti Dharamshala
642,Bikaner,IN,90.0,overcast clouds,28.0167,73.3,The Laxmi Niwas Palace
644,Lingao,CN,78.82,clear sky,19.9103,109.6859,Lingao Ditai Inn
647,Kamwenge,UG,70.72,overcast clouds,0.1866,30.4539,Marianna Guest House
648,Nicoya,CR,82.78,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
649,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
650,Qiongshan,CN,79.56,clear sky,20.0058,110.3542,Sun City Restaurant
653,Garowe,SO,80.8,scattered clouds,8.4054,48.4845,Curubo Hotel
655,Saint-Francois,FR,74.64,clear sky,46.4154,3.9054,Manoir Du Bonheur
656,Los Algarrobos,PA,82.81,scattered clouds,8.5,-82.4333,Waterfall Hostel
660,Lengshuitan,CN,78.31,scattered clouds,26.4111,111.5956,Jialong Hotel
663,Dridu,RO,81.18,clear sky,44.7,26.45,Cabana Brigu
664,Kandrian,PG,75.9,broken clouds,-6.2167,149.55,Kandrian Station
665,Pangkalanbuun,ID,73.17,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
666,Santo Estevao,BR,71.47,broken clouds,-12.4303,-39.2514,Campo Hotel
668,Chimore,BO,86.81,broken clouds,-16.9833,-65.1333,Bichito
669,Chizhou,CN,78.08,scattered clouds,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
671,Tezu,IN,76.24,light rain,27.9167,96.1667,Circuit House
672,Changping,CN,74.84,overcast clouds,40.2186,116.2197,Huachang Hotel
677,Muroto,JP,79.29,few clouds,33.2833,134.15,Oota Ryokan
679,Myitkyina,MM,75.94,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
682,Nador,MA,79.05,clear sky,35.174,-2.9287,Hôtel La Giralda
683,Kartuzy,PL,76.86,clear sky,54.3342,18.1974,Hotel Pod Orłem
686,Iralaya,HN,84.0,few clouds,15.0,-83.2333,Iglesia morava renovada
687,Lhokseumawe,ID,77.23,light rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
692,Ximei,CN,79.32,clear sky,24.9639,118.3794,Nan'an Hotel
693,Senador Jose Porfirio,BR,82.71,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
694,Tefe,BR,82.51,scattered clouds,-3.3542,-64.7114,Aracati Hotel
695,Belmonte,BR,72.25,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
696,Ofunato,JP,71.02,light rain,39.0717,141.7167,Ofunato Hot Spring
697,Dosso,NE,83.97,scattered clouds,13.049,3.1937,Hotel Toubal
698,Sarh,TD,75.6,overcast clouds,9.1429,18.3923,Domicile 1sur le goudron
699,Zaraza,VE,85.48,overcast clouds,9.3503,-65.3245,Hotel Zaraza
700,Changji,CN,77.79,clear sky,44.0167,87.3167,Lvye Holiday Resort
702,Sabaudia,IT,82.2,few clouds,41.3003,13.0282,Oasi di Kufra
704,Nisia Floresta,BR,77.81,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
705,Badnawar,IN,75.63,overcast clouds,23.0167,75.2167,Hotel Mrityunjay
706,Caravelas,BR,72.9,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
707,Meuselwitz,DE,74.86,scattered clouds,51.05,12.3,Wendler`s Haus
708,Pouebo,NC,74.19,broken clouds,-20.4,164.5667,RIVÂT LODGE
711,Kralendijk,BQ,87.78,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
715,Yendi,GH,77.92,scattered clouds,9.4427,-0.0099,Eyarro Lodge
716,Melfort,CA,73.2,few clouds,52.8667,-104.6177,Carra Valla Inn
717,Puerto Escondido,MX,86.88,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
718,Sidi Ali,DZ,77.76,clear sky,36.0998,0.4206,Complexe touristique haje bezine
719,Sirjan,IR,82.56,clear sky,29.452,55.6814,MAPNA Building
720,Kawai,JP,70.48,broken clouds,34.2333,135.85,Hanaya Tokubei
